#time,accel_x,accel_y,accel_z
884.782353,-1258.350101,689.485948,9548.656652
884.782683,-1184.329507,766.095498,9474.636058
884.783012,-1110.308913,766.095498,9548.656652
884.783342,-962.267725,1225.752797,9030.512492
884.783671,-888.247130,229.828649,8956.491898
884.784001,-888.247130,766.095498,9548.656652
884.784330,-1036.288319,766.095498,9474.636058
884.784660,-888.247130,1072.533697,9474.636058
884.784989,-1110.308913,1072.533697,9622.677246
884.785319,-888.247130,919.314598,9548.656652
884.785649,-888.247130,842.705048,9474.636058
884.785978,-962.267725,689.485948,9622.677246
884.786308,-1036.288319,842.705048,9474.636058
884.786637,-1110.308913,842.705048,9474.636058
884.786967,-962.267725,1302.362347,9252.574275
884.787296,-1036.288319,766.095498,9400.615463
884.787626,-962.267725,995.924147,9696.697840
884.787955,-962.267725,842.705048,9474.636058
884.788285,-962.267725,995.924147,9474.636058
884.788614,-888.247130,1378.971896,9548.656652
884.788944,-962.267725,536.266849,9400.615463
884.789273,-962.267725,766.095498,9326.594869
884.789603,-1036.288319,612.876398,9474.636058
884.789932,-1110.308913,842.705048,9474.636058
884.790262,-1110.308913,919.314598,9474.636058
884.790591,-740.205942,306.438199,9474.636058
884.790921,-962.267725,1072.533697,9622.677246
884.791250,-1036.288319,919.314598,9474.636058
884.791580,-1036.288319,919.314598,9548.656652
884.791909,-1110.308913,919.314598,9696.697840
884.792239,-962.267725,766.095498,9178.553681
884.792568,-1036.288319,1225.752797,9696.697840
884.792898,-1036.288319,842.705048,9474.636058
884.793227,-1110.308913,612.876398,9474.636058
884.793557,-962.267725,1072.533697,9622.677246
884.793887,-1110.308913,689.485948,9548.656652
884.794216,-1406.391290,1532.190996,9178.553681
884.794546,-1110.308913,919.314598,9548.656652
884.794875,-740.205942,919.314598,9622.677246
884.795205,-1184.329507,842.705048,9622.677246
884.795534,-888.247130,995.924147,9252.574275
884.795864,-814.226536,1225.752797,9400.615463
884.796193,-962.267725,766.095498,9474.636058
884.796523,-1110.308913,689.485948,9326.594869
884.796852,-962.267725,766.095498,9548.656652
884.797182,-1036.288319,919.314598,9474.636058
884.797511,-740.205942,1072.533697,9548.656652
884.797841,-1036.288319,689.485948,9474.636058
884.798170,-1184.329507,1072.533697,9474.636058
884.798500,-1184.329507,919.314598,9548.656652
884.798829,-1184.329507,842.705048,9400.615463
884.799159,-814.226536,459.657299,9474.636058
884.799488,-592.164754,612.876398,9326.594869
884.799818,-888.247130,995.924147,9474.636058
884.800147,-1110.308913,842.705048,9474.636058
884.800477,-1258.350101,919.314598,9326.594869
884.800806,-1406.391290,995.924147,9844.739029
884.801136,-740.205942,919.314598,9548.656652
884.801465,-1110.308913,919.314598,9400.615463
884.801795,-1258.350101,919.314598,9474.636058
884.802125,-1184.329507,919.314598,9622.677246
884.802454,-1036.288319,612.876398,9400.615463
884.802784,-518.144159,1225.752797,8734.430116
884.803113,296.082377,459.657299,9030.512492
884.803443,962.267725,459.657299,9326.594869
884.803772,962.267725,689.485948,9252.574275
884.804102,740.205942,766.095498,9548.656652
884.804431,0.000000,383.047749,9696.697840
884.804761,-296.082377,1072.533697,10881.027347
884.805090,-888.247130,995.924147,10732.986159
884.805420,-814.226536,229.828649,10214.842000
884.805749,-444.123565,76.609550,9622.677246
884.806079,592.164754,-459.657299,9104.533087
884.806408,1480.411884,0.000000,9030.512492
884.806738,2368.659014,459.657299,8660.409521
884.807067,3256.906145,689.485948,8734.430116
884.807397,3775.050304,1378.971896,9252.574275
884.807726,3849.070898,1915.238745,9400.615463
884.808056,3627.009116,2604.724693,9474.636058
884.808385,2738.761985,1378.971896,9844.739029
884.808715,2294.638420,1072.533697,10362.883188
884.809044,1258.350101,766.095498,10658.965565
884.809374,962.267725,229.828649,10732.986159
884.809703,1554.432478,-459.657299,10140.821405
884.810033,2146.597232,0.000000,9474.636058
884.810362,2738.761985,-383.047749,9178.553681
884.810692,3849.070898,0.000000,8882.471304
884.811022,4293.194464,995.924147,8882.471304
884.811351,4219.173869,2451.505594,9252.574275
884.811681,3552.988522,3140.991542,9622.677246
884.812010,2442.679609,3064.381992,10362.883188
884.812340,518.144159,2987.772442,10436.903782
884.812669,-1554.432478,2604.724693,10140.821405
884.812999,-1998.556043,1225.752797,9252.574275
884.813328,-814.226536,-459.657299,8586.388927
884.813658,444.123565,-1532.190996,7254.018232
884.813987,1998.556043,-1608.800546,6809.894666
