#time,accel_x,accel_y,accel_z
1060.739612,-888.247130,383.047749,9326.594869
1060.739942,-962.267725,1378.971896,9548.656652
1060.740272,-1036.288319,919.314598,9474.636058
1060.740601,-1036.288319,919.314598,9548.656652
1060.740931,-1184.329507,995.924147,9548.656652
1060.741261,-962.267725,689.485948,9770.718434
1060.741590,-814.226536,842.705048,9696.697840
1060.741920,-1036.288319,689.485948,9548.656652
1060.742250,-1036.288319,689.485948,9474.636058
1060.742579,-1184.329507,612.876398,9548.656652
1060.742909,-962.267725,766.095498,9548.656652
1060.743239,-1332.370696,1149.143247,9104.533087
1060.743568,-1184.329507,536.266849,9326.594869
1060.743898,-1184.329507,1072.533697,9622.677246
1060.744228,-1110.308913,1149.143247,9622.677246
1060.744557,-962.267725,842.705048,9548.656652
1060.744887,-888.247130,1608.800546,9548.656652
1060.745216,-962.267725,1225.752797,9400.615463
1060.745546,-962.267725,766.095498,9622.677246
1060.745876,-1110.308913,842.705048,9548.656652
1060.746205,-962.267725,842.705048,9474.636058
1060.746535,-888.247130,995.924147,9770.718434
1060.746865,-814.226536,995.924147,9548.656652
1060.747194,-1110.308913,1072.533697,9474.636058
1060.747524,-888.247130,1072.533697,9474.636058
1060.747854,-1110.308913,1149.143247,9474.636058
1060.748183,-814.226536,919.314598,9622.677246
1060.748513,-1258.350101,612.876398,9178.553681
1060.748843,-1036.288319,766.095498,8882.471304
1060.749172,-962.267725,919.314598,9474.636058
1060.749502,-962.267725,842.705048,9622.677246
1060.749832,-1036.288319,1072.533697,9622.677246
1060.750161,-888.247130,1149.143247,9474.636058
1060.750491,-1110.308913,919.314598,9178.553681
1060.750821,-962.267725,995.924147,9474.636058
1060.751150,-1110.308913,995.924147,9548.656652
1060.751480,-1110.308913,1072.533697,9622.677246
1060.751810,-888.247130,995.924147,9548.656652
1060.752139,-962.267725,1532.190996,9400.615463
1060.752469,-962.267725,1225.752797,9622.677246
1060.752798,-962.267725,919.314598,9622.677246
1060.753128,-1110.308913,689.485948,9696.697840
1060.753458,-1036.288319,995.924147,9696.697840
1060.753787,-1184.329507,1149.143247,9474.636058
1060.754117,-888.247130,1149.143247,9474.636058
1060.754447,-888.247130,766.095498,9696.697840
1060.754776,-1036.288319,919.314598,9622.677246
1060.755106,-962.267725,919.314598,9622.677246
1060.755436,-1110.308913,919.314598,9622.677246
1060.755765,-962.267725,1072.533697,9548.656652
1060.756095,-814.226536,919.314598,9696.697840
1060.756425,-1036.288319,919.314598,9622.677246
1060.756754,-888.247130,842.705048,9770.718434
1060.757084,-1110.308913,1072.533697,9474.636058
1060.757414,-592.164754,919.314598,9474.636058
1060.757743,-1110.308913,766.095498,9696.697840
1060.758073,-1184.329507,842.705048,9474.636058
1060.758403,-1036.288319,766.095498,9548.656652
1060.758732,-1184.329507,1149.143247,9474.636058
1060.759062,-888.247130,612.876398,9622.677246
1060.759391,-1110.308913,1072.533697,9252.574275
1060.759721,-1110.308913,995.924147,9474.636058
1060.760051,-1110.308913,766.095498,9400.615463
1060.760380,-1036.288319,995.924147,9548.656652
1060.760710,-888.247130,1378.971896,9326.594869
1060.761040,-1332.370696,1072.533697,9252.574275
1060.761369,-1184.329507,766.095498,9548.656652
1060.761699,-962.267725,1302.362347,9548.656652
1060.762029,-962.267725,919.314598,9326.594869
1060.762358,-370.102971,1149.143247,8956.491898
1060.762688,370.102971,995.924147,9178.553681
1060.763018,888.247130,842.705048,9474.636058
1060.763347,888.247130,612.876398,9252.574275
1060.763677,444.123565,919.314598,9548.656652
1060.764007,0.000000,1072.533697,9992.780217
1060.764336,-740.205942,1072.533697,10584.944971
1060.764666,-592.164754,1072.533697,10510.924376
1060.764996,-444.123565,76.609550,10288.862594
1060.765325,0.000000,153.219100,9622.677246
1060.765655,444.123565,76.609550,9400.615463
1060.765984,1628.453072,612.876398,9178.553681
1060.766314,2738.761985,229.828649,8734.430116
1060.766644,3256.906145,1072.533697,8734.430116
1060.766973,3627.009116,1149.143247,9104.533087
1060.767303,3552.988522,2068.457845,9326.594869
1060.767633,3256.906145,1685.410096,9918.759623
1060.767962,3182.885551,1149.143247,9992.780217
1060.768292,2146.597232,1378.971896,10362.883188
1060.768622,1554.432478,766.095498,10436.903782
1060.768951,1554.432478,153.219100,10658.965565
1060.769281,1702.473667,0.000000,10288.862594
1060.769611,2368.659014,0.000000,9474.636058
1060.769940,3034.844362,-153.219100,9400.615463
1060.770270,3701.029710,459.657299,9178.553681
1060.770600,4145.153275,1532.190996,9252.574275
1060.770929,3997.112087,2451.505594,9474.636058
1060.771259,3256.906145,2604.724693,9696.697840
1060.771589,2294.638420,2757.943793,10066.800811
1060.771918,0.000000,2681.334243,10214.842000
1060.772248,-1702.473667,2221.676944,9696.697840
1060.772578,-2220.617826,995.924147,9178.553681
1060.772907,-1332.370696,-306.438199,8142.265362
1060.773237,962.267725,-1455.581446,7105.977043
1060.773566,2294.638420,-995.924147,6661.853478
1060.773896,3478.967927,-689.485948,6439.791695
1060.774226,4367.215058,766.095498,7328.038826
1060.774555,3627.009116,2911.162892,9104.533087
1060.774885,2886.803174,4519.963438,11103.089130
1060.775215,1480.411884,4290.134789,11991.336260
1060.775544,370.102971,3064.381992,12731.542202
1060.775874,-888.247130,1915.238745,12583.501014
1060.776204,-1480.411884,-383.047749,12065.356855
1060.776533,-1332.370696,-1762.019645,10881.027347
1060.776863,-888.247130,-2528.115143,9696.697840
