#time,accel_x,accel_y,accel_z
739.409752,962.267725,6435.202183,11991.336260
739.410081,0.000000,3753.867940,11769.274478
739.410410,-444.123565,995.924147,10436.903782
739.410739,0.000000,-919.314598,9474.636058
739.411068,370.102971,-2604.724693,8290.306550
739.411397,296.082377,-2911.162892,8068.244768
739.411726,592.164754,-2221.676944,8512.368333
739.412055,1036.288319,229.828649,9178.553681
739.412384,1554.432478,3064.381992,9770.718434
739.412713,2294.638420,4749.792088,10362.883188
739.413042,2516.700203,4979.620737,10807.006753
739.413371,2812.782580,4290.134789,10732.986159
739.413700,2368.659014,3140.991542,10362.883188
739.414029,1850.514855,1838.629195,10140.821405
739.414358,1332.370696,383.047749,9548.656652
739.414687,1036.288319,-1149.143247,9104.533087
739.415016,1258.350101,-1685.410096,8512.368333
739.415345,1332.370696,-1225.752797,8290.306550
739.415674,1776.494261,-766.095498,8216.285956
739.416003,2220.617826,459.657299,8438.347739
739.416332,1776.494261,2145.067394,9104.533087
739.416661,1258.350101,2987.772442,10510.924376
739.416990,888.247130,3370.820191,11251.130318
739.417319,296.082377,2681.334243,11547.212695
739.417648,0.000000,1455.581446,11177.109724
739.417977,222.061783,229.828649,10658.965565
739.418306,592.164754,-1378.971896,9622.677246
739.418635,1184.329507,-2451.505594,8660.409521
739.418964,1628.453072,-2451.505594,8142.265362
739.419293,1924.535449,-1225.752797,8586.388927
739.419622,1998.556043,229.828649,9400.615463
739.419951,1184.329507,2528.115143,10288.862594
739.420280,222.061783,3907.087040,11029.068536
739.420609,-444.123565,4903.011187,11251.130318
739.420938,-592.164754,4290.134789,10436.903782
739.421267,-518.144159,3294.210641,9252.574275
739.421596,-592.164754,1072.533697,7772.162391
739.421925,-518.144159,-689.485948,7031.956449
739.422254,-370.102971,-1762.019645,6069.688724
739.422583,-740.205942,-2298.286494,6513.812290
739.422913,-1332.370696,-1608.800546,8216.285956
739.423242,-2146.597232,0.000000,10288.862594
739.423571,-3108.864956,2221.676944,11843.295072
739.423900,-4071.132681,3140.991542,12065.356855
739.424229,-3849.070898,2911.162892,12065.356855
739.424558,-3108.864956,2145.067394,11695.253884
739.424887,-2368.659014,995.924147,10955.047942
739.425216,-2072.576638,153.219100,9918.759623
739.425545,-444.123565,-229.828649,8734.430116
739.425874,1184.329507,-1225.752797,7772.162391
739.426203,2516.700203,-1532.190996,7328.038826
739.426532,3256.906145,-842.705048,7254.018232
739.426861,3552.988522,-306.438199,8068.244768
739.427190,2886.803174,842.705048,9178.553681
739.427519,1110.308913,3140.991542,11177.109724
739.427848,-962.267725,4366.744339,12509.480420
739.428177,-2664.741391,4213.525239,13249.686362
739.428506,-3923.091493,3600.648841,12287.418637
739.428835,-4293.194464,2374.896044,11177.109724
739.429164,-3182.885551,-229.828649,9474.636058
739.429493,-2072.576638,-2221.676944,7920.203579
739.429822,-1110.308913,-2451.505594,6735.874072
739.430151,-740.205942,-1149.143247,5995.668130
739.430480,-666.185348,-689.485948,6291.750507
