#time,accel_x,accel_y,accel_z
1041.219572,-1184.329507,842.705048,9696.697840
1041.219901,-1184.329507,919.314598,9548.656652
1041.220231,-962.267725,536.266849,9622.677246
1041.220561,-1036.288319,689.485948,9548.656652
1041.220891,-1110.308913,842.705048,9548.656652
1041.221220,-1184.329507,1149.143247,9548.656652
1041.221550,-1184.329507,766.095498,9474.636058
1041.221880,-740.205942,1149.143247,9474.636058
1041.222210,-962.267725,995.924147,9474.636058
1041.222539,-962.267725,1149.143247,9400.615463
1041.222869,-1036.288319,919.314598,9474.636058
1041.223199,-1184.329507,842.705048,9252.574275
1041.223529,-962.267725,1378.971896,9474.636058
1041.223858,-814.226536,842.705048,9474.636058
1041.224188,-1036.288319,766.095498,9326.594869
1041.224518,-1110.308913,689.485948,9474.636058
1041.224848,-1110.308913,919.314598,9474.636058
1041.225177,-1110.308913,306.438199,9178.553681
1041.225507,-888.247130,1302.362347,9104.533087
1041.225837,-962.267725,919.314598,9696.697840
1041.226167,-962.267725,919.314598,9400.615463
1041.226496,-1110.308913,995.924147,9474.636058
1041.226826,-962.267725,1072.533697,9696.697840
1041.227156,-740.205942,766.095498,9474.636058
1041.227486,-1036.288319,995.924147,9474.636058
1041.227815,-1110.308913,919.314598,9622.677246
1041.228145,-962.267725,766.095498,9696.697840
1041.228475,-1036.288319,536.266849,9622.677246
1041.228805,-1110.308913,1225.752797,9622.677246
1041.229134,-1332.370696,766.095498,9622.677246
1041.229464,-888.247130,842.705048,9696.697840
1041.229794,-1036.288319,919.314598,9548.656652
1041.230124,-962.267725,995.924147,9770.718434
1041.230453,-1036.288319,842.705048,9400.615463
1041.230783,-1110.308913,1149.143247,9474.636058
1041.231113,-1110.308913,1072.533697,9770.718434
1041.231443,-962.267725,612.876398,9770.718434
1041.231772,-1184.329507,612.876398,9622.677246
1041.232102,-1036.288319,536.266849,9622.677246
1041.232432,-888.247130,842.705048,9474.636058
1041.232762,-1258.350101,995.924147,9474.636058
1041.233091,-962.267725,766.095498,9474.636058
1041.233421,-1110.308913,995.924147,9474.636058
1041.233751,-1036.288319,995.924147,9474.636058
1041.234081,-962.267725,1072.533697,9474.636058
1041.234410,-1036.288319,1149.143247,9474.636058
1041.234740,-1184.329507,995.924147,9474.636058
1041.235070,-1184.329507,1072.533697,9474.636058
1041.235399,-1184.329507,919.314598,9400.615463
1041.235729,-888.247130,1302.362347,9474.636058
1041.236059,-592.164754,306.438199,9252.574275
1041.236389,-962.267725,766.095498,9400.615463
1041.236718,-1036.288319,766.095498,9400.615463
1041.237048,-962.267725,919.314598,9548.656652
1041.237378,-666.185348,1149.143247,9696.697840
1041.237708,-740.205942,919.314598,9844.739029
1041.238037,-888.247130,766.095498,9474.636058
1041.238367,-1036.288319,689.485948,9548.656652
1041.238697,-1036.288319,995.924147,9696.697840
1041.239027,-1110.308913,919.314598,9548.656652
1041.239356,-1110.308913,1302.362347,9770.718434
1041.239686,-1110.308913,766.095498,9548.656652
1041.240016,-962.267725,842.705048,9622.677246
1041.240346,-962.267725,995.924147,9622.677246
1041.240675,-962.267725,919.314598,9622.677246
1041.241005,-814.226536,536.266849,9548.656652
1041.241335,-888.247130,919.314598,9844.739029
1041.241665,-1036.288319,919.314598,9474.636058
1041.241994,-370.102971,995.924147,9474.636058
1041.242324,0.000000,766.095498,9030.512492
1041.242654,814.226536,383.047749,9252.574275
1041.242984,1258.350101,459.657299,9400.615463
1041.243313,740.205942,766.095498,9622.677246
1041.243643,296.082377,842.705048,9770.718434
1041.243973,-296.082377,995.924147,9992.780217
1041.244303,-666.185348,1149.143247,10214.842000
1041.244632,-444.123565,0.000000,10436.903782
1041.244962,-296.082377,459.657299,9844.739029
1041.245292,296.082377,229.828649,9474.636058
1041.245622,1110.308913,76.609550,9252.574275
1041.245951,2072.576638,536.266849,8956.491898
1041.246281,3034.844362,842.705048,8586.388927
1041.246611,2960.823768,1149.143247,8438.347739
1041.246941,3478.967927,1608.800546,8956.491898
1041.247270,3775.050304,1838.629195,9474.636058
1041.247600,3256.906145,1378.971896,10066.800811
1041.247930,2368.659014,995.924147,10214.842000
1041.248260,1702.473667,1072.533697,10510.924376
1041.248589,1184.329507,306.438199,10510.924376
1041.248919,1554.432478,0.000000,10658.965565
1041.249249,2072.576638,-459.657299,9770.718434
1041.249579,2664.741391,-306.438199,9252.574275
1041.249908,3330.926739,-306.438199,8882.471304
1041.250238,4219.173869,842.705048,9178.553681
1041.250568,4367.215058,1991.848295,9400.615463
1041.250898,3701.029710,2528.115143,9770.718434
1041.251227,2516.700203,2987.772442,10288.862594
1041.251557,1258.350101,2681.334243,10807.006753
1041.251887,-1036.288319,2451.505594,10288.862594
1041.252217,-1998.556043,1532.190996,9622.677246
1041.252546,-1554.432478,-306.438199,8586.388927
1041.252876,0.000000,-919.314598,7772.162391
1041.253206,1702.473667,-1762.019645,6661.853478
1041.253536,2886.803174,-1378.971896,6217.729913
1041.253865,4145.153275,76.609550,6957.935855
1041.254195,3775.050304,1915.238745,8216.285956
1041.254525,2738.761985,3983.696590,10066.800811
1041.254855,1702.473667,4903.011187,11695.253884
1041.255184,518.144159,4060.306139,12139.377449
1041.255514,-370.102971,2681.334243,12435.459826
1041.255844,-1554.432478,459.657299,11843.295072
1041.256174,-1776.494261,-1532.190996,11177.109724
1041.256503,-1406.391290,-2451.505594,10066.800811
1041.256833,0.000000,-2221.676944,9178.553681
1041.257163,1554.432478,-2451.505594,8512.368333
1041.257493,2886.803174,-1302.362347,7846.182985
1041.257822,4293.194464,229.828649,7402.059420
1041.258152,4737.318029,1762.019645,7402.059420
