#time,accel_x,accel_y,accel_z
1026.657130,-962.267725,919.314598,9770.718434
1026.657460,-1036.288319,689.485948,9622.677246
1026.657789,-1036.288319,689.485948,9770.718434
1026.658119,-962.267725,919.314598,9548.656652
1026.658448,-962.267725,842.705048,9474.636058
1026.658778,-888.247130,766.095498,9548.656652
1026.659107,-1110.308913,919.314598,9548.656652
1026.659437,-1110.308913,995.924147,9548.656652
1026.659767,-1036.288319,842.705048,9622.677246
1026.660096,-888.247130,1225.752797,9326.594869
1026.660426,-1036.288319,766.095498,9474.636058
1026.660755,-1036.288319,766.095498,9622.677246
1026.661085,-888.247130,842.705048,9622.677246
1026.661414,-1258.350101,842.705048,9474.636058
1026.661744,-1332.370696,1072.533697,9030.512492
1026.662073,-666.185348,1378.971896,9474.636058
1026.662403,-1110.308913,1225.752797,9474.636058
1026.662732,-1184.329507,919.314598,9326.594869
1026.663062,-1184.329507,1149.143247,9400.615463
1026.663392,-1110.308913,1378.971896,8956.491898
1026.663721,-962.267725,1072.533697,9474.636058
1026.664051,-1184.329507,612.876398,9400.615463
1026.664380,-1036.288319,919.314598,9622.677246
1026.664710,-1184.329507,1072.533697,9548.656652
1026.665039,-1036.288319,995.924147,9474.636058
1026.665369,-666.185348,1455.581446,9326.594869
1026.665698,-1110.308913,612.876398,9696.697840
1026.666028,-1036.288319,1072.533697,9696.697840
1026.666357,-1110.308913,842.705048,9474.636058
1026.666687,-1036.288319,919.314598,9474.636058
1026.667017,-1036.288319,919.314598,9030.512492
1026.667346,-814.226536,689.485948,9474.636058
1026.667676,-1184.329507,842.705048,9696.697840
1026.668005,-888.247130,612.876398,9844.739029
1026.668335,-1110.308913,919.314598,9770.718434
1026.668664,-1110.308913,689.485948,9474.636058
1026.668994,-1036.288319,842.705048,9252.574275
1026.669323,-1036.288319,919.314598,9696.697840
1026.669653,-1110.308913,842.705048,9770.718434
1026.669982,-1036.288319,919.314598,9622.677246
1026.670312,-1036.288319,1072.533697,9696.697840
1026.670642,-962.267725,1149.143247,9770.718434
1026.670971,-1184.329507,919.314598,9770.718434
1026.671301,-1184.329507,842.705048,9474.636058
1026.671630,-1110.308913,612.876398,9474.636058
1026.671960,-1036.288319,766.095498,9474.636058
1026.672289,-1036.288319,612.876398,9474.636058
1026.672619,-814.226536,1302.362347,9252.574275
1026.672948,-1110.308913,842.705048,9474.636058
1026.673278,-1036.288319,919.314598,9474.636058
1026.673607,-888.247130,842.705048,9400.615463
1026.673937,-814.226536,1455.581446,9178.553681
1026.674267,-888.247130,995.924147,9400.615463
1026.674596,-1036.288319,766.095498,9326.594869
1026.674926,-962.267725,919.314598,9474.636058
1026.675255,-1110.308913,995.924147,9474.636058
1026.675585,-1036.288319,766.095498,9474.636058
1026.675914,-888.247130,1072.533697,9622.677246
1026.676244,-1110.308913,842.705048,9548.656652
1026.676573,-1110.308913,995.924147,9400.615463
1026.676903,-1110.308913,842.705048,9474.636058
1026.677232,-962.267725,689.485948,9548.656652
1026.677562,-888.247130,919.314598,9622.677246
1026.677892,-740.205942,536.266849,9474.636058
1026.678221,-962.267725,842.705048,9474.636058
1026.678551,-1184.329507,842.705048,9548.656652
1026.678880,-962.267725,1072.533697,9844.739029
1026.679210,-888.247130,919.314598,9474.636058
1026.679539,-370.102971,536.266849,9030.512492
1026.679869,148.041188,689.485948,9326.594869
1026.680198,814.226536,536.266849,9474.636058
1026.680528,888.247130,459.657299,9400.615463
1026.680857,518.144159,383.047749,9474.636058
1026.681187,222.061783,536.266849,10066.800811
1026.681517,-296.082377,1225.752797,10510.924376
1026.681846,-740.205942,919.314598,10584.944971
1026.682176,-592.164754,0.000000,10510.924376
1026.682505,0.000000,76.609550,9770.718434
1026.682835,444.123565,76.609550,9548.656652
1026.683164,1480.411884,689.485948,9104.533087
1026.683494,2516.700203,153.219100,8808.450710
1026.683823,3108.864956,766.095498,8660.409521
1026.684153,3404.947333,1455.581446,9030.512492
1026.684482,3552.988522,2145.067394,9030.512492
1026.684812,3701.029710,2374.896044,9548.656652
1026.685142,2960.823768,1072.533697,9918.759623
1026.685471,2146.597232,1149.143247,10214.842000
1026.685801,1554.432478,766.095498,10510.924376
1026.686130,1184.329507,153.219100,10807.006753
1026.686460,1258.350101,459.657299,10140.821405
1026.686789,1850.514855,-612.876398,9622.677246
1026.687119,2368.659014,-459.657299,9474.636058
1026.687448,3552.988522,0.000000,9030.512492
1026.687778,4293.194464,842.705048,9178.553681
1026.688107,4145.153275,2528.115143,9326.594869
1026.688437,3849.070898,2528.115143,9474.636058
1026.688767,2442.679609,2987.772442,10214.842000
1026.689096,740.205942,2681.334243,10362.883188
1026.689426,-1036.288319,2374.896044,9992.780217
1026.689755,-1850.514855,2145.067394,9696.697840
1026.690085,-1480.411884,383.047749,8216.285956
1026.690414,370.102971,-1072.533697,7550.100608
1026.690744,2146.597232,-1302.362347,6735.874072
1026.691073,3701.029710,-919.314598,6587.832884
1026.691403,4219.173869,0.000000,7476.080014
1026.691732,3108.864956,2451.505594,8882.471304
1026.692062,2294.638420,4596.572988,11251.130318
1026.692392,1184.329507,4519.963438,12361.439231
1026.692721,296.082377,3447.429741,12731.542202
1026.693051,-592.164754,1915.238745,12361.439231
1026.693380,-962.267725,-383.047749,11251.130318
1026.693710,-1110.308913,-1608.800546,10584.944971
1026.694039,-888.247130,-2451.505594,9622.677246
1026.694369,0.000000,-2145.067394,8882.471304
1026.694698,1406.391290,-1302.362347,8290.306550
1026.695028,3404.947333,-229.828649,7698.141797
1026.695357,4071.132681,459.657299,7179.997637
1026.695687,4515.256246,2221.676944,7698.141797
1026.696017,4515.256246,2834.553343,8438.347739
1026.696346,3849.070898,3677.258390,9770.718434
1026.696676,3182.885551,3753.867940,10658.965565
1026.697005,2072.576638,2757.943793,10881.027347
1026.697335,1332.370696,1455.581446,11177.109724
1026.697664,740.205942,-153.219100,10807.006753
1026.697994,-222.061783,-1302.362347,10732.986159
1026.698323,-518.144159,-919.314598,10584.944971
1026.698653,-222.061783,-1072.533697,10362.883188
1026.698982,0.000000,-842.705048,9844.739029
1026.699312,444.123565,153.219100,9400.615463
1026.699642,1702.473667,612.876398,8438.347739
1026.699971,2664.741391,229.828649,8142.265362
1026.700301,4293.194464,766.095498,8586.388927
1026.700630,4589.276840,1149.143247,8068.244768
1026.700960,4293.194464,459.657299,8512.368333
1026.701289,3849.070898,919.314598,9178.553681
1026.701619,2886.803174,1225.752797,9918.759623
1026.701948,2146.597232,1991.848295,10362.883188
1026.702278,1258.350101,1991.848295,10584.944971
1026.702607,1702.473667,1915.238745,10510.924376
1026.702937,1776.494261,1378.971896,10214.842000
1026.703267,2072.576638,1302.362347,9548.656652
1026.703596,2294.638420,842.705048,8586.388927
1026.703926,2886.803174,766.095498,7846.182985
1026.704255,2368.659014,612.876398,7846.182985
1026.704585,2368.659014,1149.143247,8512.368333
1026.704914,1998.556043,1072.533697,9178.553681
1026.705244,1036.288319,536.266849,9474.636058
1026.705573,-444.123565,536.266849,9918.759623
1026.705903,-1110.308913,229.828649,11103.089130
1026.706232,-1628.453072,383.047749,12065.356855
1026.706562,-2072.576638,306.438199,11843.295072
1026.706892,-1850.514855,459.657299,10658.965565
1026.707221,-370.102971,76.609550,9400.615463
1026.707551,2590.720797,-306.438199,8808.450710
1026.707880,4293.194464,229.828649,8068.244768
1026.708210,6439.791695,1915.238745,7402.059420
1026.708539,7994.224174,2757.943793,7772.162391
1026.708869,8364.327145,3907.087040,8586.388927
1026.709198,7624.121203,4443.353888,9548.656652
1026.709528,5773.606348,4596.572988,10881.027347
