#time,accel_x,accel_y,accel_z
861.934719,-1258.350101,995.924147,9474.636058
861.935048,-1036.288319,995.924147,9622.677246
861.935378,-666.185348,995.924147,9474.636058
861.935707,-1036.288319,995.924147,9474.636058
861.936037,-888.247130,995.924147,9548.656652
861.936367,-1036.288319,842.705048,9474.636058
861.936696,-1110.308913,766.095498,9696.697840
861.937026,-888.247130,1455.581446,9474.636058
861.937355,-1184.329507,842.705048,9400.615463
861.937685,-1036.288319,842.705048,9622.677246
861.938015,-1036.288319,766.095498,9696.697840
861.938344,-814.226536,995.924147,9622.677246
861.938674,-1110.308913,919.314598,9770.718434
861.939003,-1110.308913,536.266849,9326.594869
861.939333,-1036.288319,995.924147,9696.697840
861.939663,-1036.288319,919.314598,9622.677246
861.939992,-1036.288319,919.314598,9548.656652
861.940322,-1110.308913,1072.533697,9104.533087
861.940651,-962.267725,1378.971896,9326.594869
861.940981,-1036.288319,1072.533697,9326.594869
861.941310,-888.247130,995.924147,9400.615463
861.941640,-888.247130,766.095498,9548.656652
861.941970,-1036.288319,842.705048,9474.636058
861.942299,-666.185348,995.924147,9622.677246
861.942629,-962.267725,995.924147,9474.636058
861.942958,-962.267725,842.705048,9548.656652
861.943288,-1036.288319,842.705048,9474.636058
861.943618,-814.226536,1072.533697,9474.636058
861.943947,-814.226536,995.924147,9622.677246
861.944277,-962.267725,1072.533697,9252.574275
861.944606,-1258.350101,1072.533697,9548.656652
861.944936,-1184.329507,1225.752797,9548.656652
861.945266,-962.267725,919.314598,9622.677246
861.945595,-1110.308913,1149.143247,9400.615463
861.945925,-962.267725,995.924147,9326.594869
861.946254,-962.267725,612.876398,9548.656652
861.946584,-1110.308913,919.314598,9548.656652
861.946914,-1184.329507,842.705048,9474.636058
861.947243,-1184.329507,766.095498,9548.656652
861.947573,-1184.329507,536.266849,9252.574275
861.947902,-1184.329507,842.705048,9696.697840
861.948232,-1184.329507,919.314598,9548.656652
861.948561,-962.267725,842.705048,9770.718434
861.948891,-888.247130,842.705048,9548.656652
861.949221,-1036.288319,995.924147,9474.636058
861.949550,-666.185348,1225.752797,9326.594869
861.949880,-888.247130,766.095498,9622.677246
861.950209,-1110.308913,919.314598,9474.636058
861.950539,-962.267725,766.095498,9770.718434
861.950869,-888.247130,766.095498,9326.594869
861.951198,-666.185348,689.485948,9474.636058
861.951528,-1110.308913,995.924147,9548.656652
861.951857,-888.247130,766.095498,9696.697840
861.952187,-962.267725,919.314598,9400.615463
861.952517,-1036.288319,766.095498,9474.636058
861.952846,-962.267725,1302.362347,9474.636058
861.953176,-962.267725,842.705048,9622.677246
861.953505,-962.267725,995.924147,9474.636058
861.953835,-1184.329507,919.314598,9400.615463
861.954165,-1036.288319,995.924147,9474.636058
861.954494,-740.205942,842.705048,9178.553681
861.954824,-1036.288319,612.876398,9178.553681
861.955153,-1110.308913,842.705048,9622.677246
861.955483,-1110.308913,842.705048,9622.677246
861.955812,-1036.288319,842.705048,9548.656652
861.956142,-1036.288319,1225.752797,9178.553681
861.956472,-1110.308913,919.314598,9622.677246
861.956801,-888.247130,842.705048,9622.677246
861.957131,-888.247130,842.705048,9696.697840
861.957460,-962.267725,766.095498,9622.677246
861.957790,-1110.308913,995.924147,9548.656652
861.958120,-1110.308913,536.266849,9326.594869
861.958449,-666.185348,689.485948,9696.697840
861.958779,-1184.329507,842.705048,9770.718434
861.959108,-1036.288319,689.485948,9770.718434
861.959438,-962.267725,919.314598,9474.636058
861.959768,-444.123565,1225.752797,9030.512492
861.960097,518.144159,689.485948,9178.553681
861.960427,1184.329507,459.657299,9474.636058
861.960756,666.185348,612.876398,9474.636058
861.961086,296.082377,766.095498,9696.697840
861.961415,0.000000,842.705048,10140.821405
861.961745,-444.123565,995.924147,10214.842000
861.962075,-740.205942,766.095498,10288.862594
861.962404,-370.102971,383.047749,10066.800811
861.962734,0.000000,76.609550,9474.636058
861.963063,814.226536,0.000000,8808.450710
861.963393,1554.432478,766.095498,8586.388927
861.963723,2368.659014,842.705048,8512.368333
861.964052,3256.906145,1378.971896,8660.409521
861.964382,3478.967927,1608.800546,9030.512492
861.964711,3552.988522,2221.676944,9548.656652
861.965041,3182.885551,1608.800546,9400.615463
861.965371,3034.844362,1225.752797,9992.780217
861.965700,1776.494261,919.314598,10140.821405
861.966030,1036.288319,612.876398,10510.924376
861.966359,1110.308913,0.000000,10658.965565
861.966689,1406.391290,-536.266849,10214.842000
861.967019,1776.494261,0.000000,9696.697840
861.967348,2664.741391,-383.047749,9252.574275
861.967678,3701.029710,153.219100,9400.615463
861.968007,4737.318029,1149.143247,9326.594869
861.968337,4441.235652,2145.067394,9400.615463
861.968666,3627.009116,2987.772442,9770.718434
861.968996,2368.659014,3294.210641,10362.883188
861.969326,666.185348,2911.162892,10658.965565
861.969655,-1184.329507,2451.505594,10140.821405
861.969985,-2072.576638,995.924147,9252.574275
861.970314,-666.185348,76.609550,8216.285956
861.970644,814.226536,-1149.143247,7698.141797
861.970974,2220.617826,-995.924147,6365.771101
861.971303,3552.988522,-536.266849,6217.729913
861.971633,4293.194464,383.047749,7105.977043
861.971962,4145.153275,2451.505594,9326.594869
861.972292,2294.638420,4366.744339,11251.130318
861.972622,444.123565,4979.620737,12213.398043
861.972951,-666.185348,3983.696590,12509.480420
861.973281,-1406.391290,1532.190996,12287.418637
861.973610,-1554.432478,-995.924147,11843.295072
861.973940,-1998.556043,-2451.505594,11103.089130
861.974270,-2072.576638,-2681.334243,9770.718434
861.974599,-1258.350101,-2145.067394,9104.533087
861.974929,0.000000,-1378.971896,8438.347739
861.975258,2220.617826,-612.876398,7846.182985
861.975588,3627.009116,536.266849,7105.977043
861.975917,4515.256246,2221.676944,7031.956449
861.976247,4219.173869,3677.258390,8438.347739
861.976577,3701.029710,4290.134789,9622.677246
861.976906,2368.659014,4366.744339,9992.780217
861.977236,962.267725,3753.867940,9992.780217
861.977565,0.000000,2604.724693,10881.027347
861.977895,-1110.308913,153.219100,11177.109724
861.978225,-2812.782580,-995.924147,11103.089130
861.978554,-4515.256246,-1149.143247,10732.986159
861.978884,-4293.194464,-689.485948,10881.027347
861.979213,-3552.988522,-383.047749,10436.903782
861.979543,-2368.659014,-229.828649,9474.636058
861.979873,-1110.308913,-229.828649,8438.347739
861.980202,222.061783,-536.266849,7476.080014
861.980532,1776.494261,-306.438199,7698.141797
861.980861,2368.659014,459.657299,8290.306550
861.981191,3034.844362,1072.533697,8882.471304
861.981520,2516.700203,1072.533697,9474.636058
861.981850,1924.535449,1072.533697,10140.821405
861.982180,1406.391290,1838.629195,11103.089130
861.982509,148.041188,2298.286494,11621.233289
861.982839,-814.226536,2757.943793,12139.377449
861.983168,-2072.576638,2451.505594,11621.233289
861.983498,-2442.679609,2145.067394,10436.903782
861.983828,-1924.535449,689.485948,9252.574275
861.984157,-888.247130,-459.657299,7772.162391
861.984487,0.000000,-459.657299,6883.915261
861.984816,0.000000,-306.438199,6513.812290
861.985146,-444.123565,536.266849,7179.997637
861.985476,-1110.308913,1302.362347,7624.121203
861.985805,-1850.514855,2145.067394,8882.471304
861.986135,-2738.761985,2374.896044,10140.821405
861.986464,-3256.906145,2374.896044,11029.068536
861.986794,-3627.009116,1991.848295,11621.233289
861.987124,-3627.009116,1149.143247,11029.068536
861.987453,-2738.761985,536.266849,10140.821405
861.987783,-1554.432478,-689.485948,9474.636058
861.988112,592.164754,-766.095498,8956.491898
861.988442,1406.391290,-153.219100,9178.553681
861.988771,1628.453072,536.266849,9252.574275
861.989101,1850.514855,2145.067394,10140.821405
861.989431,1184.329507,2987.772442,10881.027347
861.989760,444.123565,3677.258390,11251.130318
861.990090,-148.041188,3677.258390,11177.109724
861.990419,-666.185348,3064.381992,10214.842000
861.990749,-1332.370696,1302.362347,9178.553681
861.991079,-1036.288319,-459.657299,8438.347739
861.991408,-740.205942,-1225.752797,7920.203579
861.991738,-1258.350101,-1302.362347,8068.244768
861.992067,-1998.556043,-536.266849,8142.265362
861.992397,-1924.535449,153.219100,8290.306550
861.992727,-1702.473667,1378.971896,9178.553681
861.993056,-1554.432478,2221.676944,10288.862594
861.993386,-2812.782580,2911.162892,11029.068536
861.993715,-2960.823768,3064.381992,10807.006753
861.994045,-3256.906145,2145.067394,10732.986159
861.994375,-2664.741391,1225.752797,10066.800811
861.994704,-1850.514855,0.000000,9696.697840
861.995034,-666.185348,-1072.533697,9104.533087
861.995363,-222.061783,-1072.533697,8438.347739
861.995693,222.061783,-383.047749,8438.347739
861.996022,444.123565,306.438199,8660.409521
861.996352,296.082377,612.876398,9178.553681
861.996682,74.020594,1838.629195,9030.512492
861.997011,0.000000,2221.676944,9252.574275
861.997341,-148.041188,2221.676944,9844.739029
861.997670,0.000000,1838.629195,9400.615463
861.998000,0.000000,536.266849,9326.594869
861.998330,-592.164754,0.000000,9400.615463
