#time,accel_x,accel_y,accel_z
1109.617802,-1036.288319,1455.581446,9474.636058
1109.618132,-962.267725,1149.143247,9474.636058
1109.618461,-1036.288319,1072.533697,9548.656652
1109.618791,-962.267725,995.924147,9696.697840
1109.619120,-1110.308913,842.705048,9548.656652
1109.619450,-1184.329507,1302.362347,9548.656652
1109.619780,-888.247130,919.314598,9548.656652
1109.620109,-1036.288319,459.657299,9400.615463
1109.620439,-1036.288319,842.705048,9474.636058
1109.620768,-1184.329507,919.314598,9474.636058
1109.621098,-1110.308913,919.314598,9622.677246
1109.621427,-888.247130,1455.581446,9474.636058
1109.621757,-1184.329507,995.924147,9474.636058
1109.622086,-962.267725,842.705048,9548.656652
1109.622416,-1110.308913,919.314598,9326.594869
1109.622746,-1110.308913,459.657299,9400.615463
1109.623075,-1036.288319,612.876398,9252.574275
1109.623405,-814.226536,995.924147,9474.636058
1109.623734,-1036.288319,919.314598,9622.677246
1109.624064,-1110.308913,766.095498,9548.656652
1109.624393,-888.247130,995.924147,9622.677246
1109.624723,-814.226536,842.705048,9696.697840
1109.625052,-1110.308913,995.924147,9326.594869
1109.625382,-962.267725,842.705048,9622.677246
1109.625711,-1036.288319,689.485948,9474.636058
1109.626041,-962.267725,995.924147,9696.697840
1109.626371,-1110.308913,1149.143247,9844.739029
1109.626700,-888.247130,1072.533697,9474.636058
1109.627030,-814.226536,995.924147,9696.697840
1109.627359,-1110.308913,842.705048,9622.677246
1109.627689,-888.247130,919.314598,9474.636058
1109.628018,-962.267725,919.314598,9622.677246
1109.628348,-1036.288319,612.876398,9178.553681
1109.628677,-1258.350101,995.924147,9474.636058
1109.629007,-1184.329507,842.705048,9548.656652
1109.629337,-1036.288319,766.095498,9548.656652
1109.629666,-1110.308913,919.314598,9548.656652
1109.629996,-962.267725,1072.533697,9252.574275
1109.630325,-1036.288319,689.485948,9252.574275
1109.630655,-888.247130,919.314598,9622.677246
1109.630984,-888.247130,919.314598,9770.718434
1109.631314,-1036.288319,842.705048,9548.656652
1109.631643,-1036.288319,919.314598,9474.636058
1109.631973,-1332.370696,1378.971896,9400.615463
1109.632303,-1184.329507,919.314598,9326.594869
1109.632632,-1036.288319,995.924147,9400.615463
1109.632962,-1036.288319,919.314598,9474.636058
1109.633291,-1110.308913,689.485948,9400.615463
1109.633621,-888.247130,1225.752797,9474.636058
1109.633950,-814.226536,689.485948,9622.677246
1109.634280,-962.267725,919.314598,9696.697840
1109.634609,-1036.288319,995.924147,9622.677246
1109.634939,-1184.329507,919.314598,9622.677246
1109.635268,-962.267725,1455.581446,9696.697840
1109.635598,-962.267725,689.485948,9474.636058
1109.635928,-1036.288319,842.705048,9622.677246
1109.636257,-1110.308913,919.314598,9474.636058
1109.636587,-1036.288319,919.314598,9696.697840
1109.636916,-1036.288319,1072.533697,9918.759623
1109.637246,-666.185348,1225.752797,9696.697840
1109.637575,-1036.288319,612.876398,9474.636058
1109.637905,-1110.308913,919.314598,9548.656652
1109.638234,-888.247130,919.314598,9474.636058
1109.638564,-1258.350101,995.924147,9548.656652
1109.638894,-962.267725,612.876398,9622.677246
1109.639223,-666.185348,536.266849,9474.636058
1109.639553,-1184.329507,766.095498,9400.615463
1109.639882,-814.226536,919.314598,9548.656652
1109.640212,-888.247130,919.314598,9770.718434
1109.640541,-1110.308913,1149.143247,9474.636058
1109.640871,-1258.350101,1225.752797,9030.512492
1109.641200,-1110.308913,1072.533697,9400.615463
1109.641530,-1036.288319,842.705048,9326.594869
1109.641860,-962.267725,842.705048,9548.656652
1109.642189,-1036.288319,919.314598,9474.636058
1109.642519,-962.267725,919.314598,9622.677246
1109.642848,-962.267725,995.924147,9474.636058
1109.643178,-1036.288319,919.314598,9474.636058
1109.643507,-962.267725,919.314598,9400.615463
1109.643837,-814.226536,995.924147,9548.656652
1109.644166,-962.267725,612.876398,9400.615463
1109.644496,-1036.288319,842.705048,9474.636058
1109.644825,-888.247130,1072.533697,9474.636058
1109.645155,-1110.308913,842.705048,9474.636058
1109.645485,-962.267725,995.924147,9548.656652
1109.645814,-1036.288319,1225.752797,9252.574275
1109.646144,-370.102971,612.876398,9104.533087
1109.646473,0.000000,766.095498,8956.491898
1109.646803,592.164754,459.657299,9252.574275
